<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.11	01:00:00	1800.41	1802.84	1799.97	1801.26	1295	0	5
2022.01.11	02:00:00	1801.26	1804.67	1801.22	1802.73	1971	0	5
2022.01.11	03:00:00	1802.72	1805.97	1802.01	1804.90	4348	0	5
2022.01.11	04:00:00	1804.87	1806.35	1804.37	1805.17	2552	0	5
2022.01.11	05:00:00	1805.13	1807.84	1805.03	1805.89	2498	0	5
2022.01.11	06:00:00	1805.89	1806.72	1805.50	1806.67	1334	0	5
2022.01.11	07:00:00	1806.70	1808.67	1805.67	1808.45	2643	0	5
2022.01.11	08:00:00	1808.45	1809.81	1807.04	1808.21	4311	0	5
2022.01.11	09:00:00	1808.21	1809.75	1807.60	1809.07	4073	0	5
2022.01.11	10:00:00	1809.07	1810.11	1808.20	1808.83	4718	0	5
2022.01.11	11:00:00	1808.83	1810.24	1806.08	1806.91	4309	0	5
2022.01.11	12:00:00	1806.91	1807.65	1804.86	1806.11	3456	0	5
2022.01.11	13:00:00	1806.11	1807.65	1804.48	1806.50	3116	0	5
2022.01.11	14:00:00	1806.47	1808.21	1805.15	1807.48	3948	0	5
2022.01.11	15:00:00	1807.48	1809.04	1804.64	1805.53	7029	0	5
2022.01.11	16:00:00	1805.64	1807.29	1801.76	1805.94	9452	0	5
2022.01.11	17:00:00	1805.92	1812.19	1805.40	1811.71	9860	0	5
2022.01.11	18:00:00	1811.69	1816.75	1810.06	1815.31	9128	0	5
2022.01.11	19:00:00	1815.32	1817.87	1814.00	1817.55	5210	0	5
2022.01.11	20:00:00	1817.55	1820.09	1817.25	1820.01	5012	0	5
2022.01.11	21:00:00	1820.02	1821.18	1818.96	1820.84	3159	0	5
2022.01.11	22:00:00	1820.76	1823.21	1820.37	1822.96	2952	0	5
2022.01.11	23:00:00	1823.00	1823.12	1821.39	1821.43	1289	0	5
2022.01.12	01:00:00	1820.14	1821.74	1820.09	1820.73	1809	0	5
2022.01.12	02:00:00	1820.57	1822.55	1820.30	1820.86	1950	0	5
2022.01.12	03:00:00	1820.86	1822.14	1818.39	1819.04	3926	0	5
2022.01.12	04:00:00	1819.04	1820.46	1818.94	1819.47	2536	0	5
2022.01.12	05:00:00	1819.46	1819.86	1818.10	1818.18	1749	0	5
2022.01.12	06:00:00	1818.14	1819.46	1817.73	1818.16	1547	0	5
2022.01.12	07:00:00	1818.16	1821.53	1818.06	1820.45	2218	0	5
2022.01.12	08:00:00	1820.45	1821.48	1819.76	1820.06	2283	0	5
2022.01.12	09:00:00	1820.06	1820.41	1815.85	1817.24	3834	0	5
2022.01.12	10:00:00	1817.25	1818.29	1814.71	1816.86	4345	0	5
2022.01.12	11:00:00	1816.90	1817.12	1814.98	1816.33	3363	0	5
2022.01.12	12:00:00	1816.32	1818.20	1816.01	1817.39	2937	0	5
2022.01.12	13:00:00	1817.43	1818.54	1816.31	1817.24	2810	0	5
2022.01.12	14:00:00	1817.26	1819.43	1816.34	1819.41	3679	0	5
2022.01.12	15:00:00	1819.37	1825.46	1817.32	1821.27	12821	0	5
2022.01.12	16:00:00	1821.32	1824.46	1818.89	1821.91	10124	0	5
2022.01.12	17:00:00	1821.95	1824.68	1821.00	1823.84	8380	0	5
2022.01.12	18:00:00	1823.80	1824.83	1820.12	1824.78	6198	0	5
2022.01.12	19:00:00	1824.78	1827.01	1823.87	1826.15	4020	0	5
2022.01.12	20:00:00	1826.08	1827.92	1825.61	1826.09	4078	0	5
2022.01.12	21:00:00	1826.09	1827.98	1825.85	1827.92	2346	0	5
2022.01.12	22:00:00	1827.98	1828.01	1825.90	1827.41	2240	0	5
2022.01.12	23:00:00	1827.45	1827.51	1825.60	1826.14	1290	0	5
2022.01.13	01:00:00	1825.78	1826.18	1824.89	1825.34	992	0	5
2022.01.13	02:00:00	1825.34	1825.93	1824.19	1824.30	1936	0	5
2022.01.13	03:00:00	1824.31	1826.62	1824.09	1825.42	3544	0	5
2022.01.13	04:00:00	1825.43	1825.63	1824.02	1824.36	2318	0	5
2022.01.13	05:00:00	1824.35	1825.44	1824.35	1825.18	1747	0	5
2022.01.13	06:00:00	1825.12	1826.54	1825.06	1825.90	1261	0	5
2022.01.13	07:00:00	1825.90	1828.13	1825.65	1825.88	2214	0	5
2022.01.13	08:00:00	1825.89	1826.95	1824.34	1825.24	2844	0	5
2022.01.13	09:00:00	1825.24	1827.12	1823.43	1826.65	3678	0	5
2022.01.13	10:00:00	1826.65	1827.54	1820.66	1821.11	6024	0	5
2022.01.13	11:00:00	1821.11	1822.88	1819.06	1822.81	4632	0	5
2022.01.13	12:00:00	1822.79	1824.07	1821.86	1822.67	2727	0	5
2022.01.13	13:00:00	1822.71	1824.18	1822.03	1823.67	2258	0	5
2022.01.13	14:00:00	1823.66	1826.01	1823.17	1824.30	3751	0	5
2022.01.13	15:00:00	1824.32	1825.45	1819.24	1821.98	9255	0	5
2022.01.13	16:00:00	1821.98	1823.84	1818.02	1818.63	9141	0	5
2022.01.13	17:00:00	1818.64	1820.71	1814.30	1814.70	10615	0	5
2022.01.13	18:00:00	1814.71	1819.21	1812.34	1819.11	6812	0	5
2022.01.13	19:00:00	1819.11	1821.41	1818.29	1820.62	5179	0	5
2022.01.13	20:00:00	1820.61	1821.98	1819.51	1820.43	3827	0	5
2022.01.13	21:00:00	1820.45	1821.73	1820.21	1821.00	2134	0	5
2022.01.13	22:00:00	1821.01	1822.34	1820.72	1821.91	2660	0	5
2022.01.13	23:00:00	1821.95	1822.89	1821.60	1822.71	1135	0	5
2022.01.14	01:00:00	1821.49	1822.00	1820.78	1820.86	997	0	5
2022.01.14	02:00:00	1820.86	1822.01	1819.55	1820.86	2946	0	5
2022.01.14	03:00:00	1820.86	1824.55	1820.31	1822.33	4068	0	5
2022.01.14	04:00:00	1822.39	1825.53	1822.27	1825.12	4235	0	5
2022.01.14	05:00:00	1825.14	1827.29	1824.83	1826.05	2528	0	5
2022.01.14	06:00:00	1826.05	1827.25	1825.52	1825.98	1725	0	5
