<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.11	01:00:00	1307.92	1308.41	1307.70	1308.18	373	0	15
2019.04.11	01:20:00	1308.18	1308.45	1307.85	1308.43	147	0	12
2019.04.11	01:40:00	1308.43	1308.46	1307.90	1308.03	255	0	17
2019.04.11	02:00:00	1308.02	1308.55	1308.00	1308.55	144	0	16
2019.04.11	02:20:00	1308.50	1308.87	1308.35	1308.84	168	0	16
2019.04.11	02:40:00	1308.82	1309.15	1307.95	1308.04	258	0	19
2019.04.11	03:00:00	1308.07	1308.27	1307.53	1307.66	422	0	17
2019.04.11	03:20:00	1307.66	1307.68	1306.96	1307.46	570	0	15
2019.04.11	03:40:00	1307.47	1307.71	1306.99	1307.71	297	0	17
2019.04.11	04:00:00	1307.72	1308.28	1307.42	1308.03	565	0	16
2019.04.11	04:20:00	1308.03	1308.14	1306.93	1307.13	346	0	16
2019.04.11	04:40:00	1307.14	1307.30	1306.57	1306.95	428	0	18
2019.04.11	05:00:00	1306.95	1307.10	1306.36	1306.99	300	0	16
2019.04.11	05:20:00	1306.99	1307.10	1306.57	1306.62	291	0	18
2019.04.11	05:40:00	1306.62	1306.83	1306.28	1306.68	281	0	16
2019.04.11	06:00:00	1306.68	1306.71	1306.22	1306.30	220	0	18
2019.04.11	06:20:00	1306.30	1306.61	1306.21	1306.52	163	0	15
2019.04.11	06:40:00	1306.52	1306.62	1306.42	1306.61	114	0	17
2019.04.11	07:00:00	1306.61	1306.61	1306.02	1306.22	132	0	18
2019.04.11	07:20:00	1306.22	1306.37	1306.02	1306.31	81	0	17
2019.04.11	07:40:00	1306.31	1307.17	1306.27	1307.13	148	0	13
2019.04.11	08:00:00	1307.13	1307.52	1307.02	1307.11	180	0	15
2019.04.11	08:20:00	1307.11	1307.73	1306.82	1307.32	123	0	17
2019.04.11	08:40:00	1307.32	1308.13	1307.12	1307.83	253	0	15
2019.04.11	09:00:00	1307.83	1308.22	1307.63	1307.63	221	0	14
2019.04.11	09:20:00	1307.63	1307.75	1306.81	1307.14	495	0	15
