<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.13	00:00:00	41901.20	42078.10	41878.30	42078.10	1232	0	10
2022.02.13	00:20:00	42077.50	42177.20	41911.50	42086.30	1361	0	10
2022.02.13	00:40:00	42086.30	42230.50	41957.20	42190.00	891	0	10
2022.02.13	01:00:00	42190.00	42268.00	42138.90	42238.50	789	0	10
2022.02.13	01:20:00	42238.50	42238.50	42138.50	42138.50	351	0	10
2022.02.13	01:40:00	42138.50	42249.90	42098.50	42239.40	286	0	10
2022.02.13	02:00:00	42239.50	42241.00	42083.80	42193.80	2016	0	10
2022.02.13	02:20:00	42188.90	42489.60	42144.00	42483.40	1626	0	10
2022.02.13	02:40:00	42483.40	42483.40	42378.00	42413.90	532	0	10
2022.02.13	03:00:00	42413.90	42484.80	42362.20	42471.40	990	0	10
2022.02.13	03:20:00	42471.40	42471.40	42398.50	42398.50	283	0	10
2022.02.13	03:40:00	42398.50	42398.50	42233.10	42233.10	223	0	10
2022.02.13	04:00:00	42234.60	42279.40	42208.70	42246.20	612	0	10
2022.02.13	04:20:00	42246.20	42246.20	42148.60	42198.30	452	0	10
2022.02.13	04:40:00	42198.30	42224.80	42153.80	42223.30	274	0	10
2022.02.13	05:00:00	42223.30	42238.40	42185.20	42204.40	48	0	310
2022.02.13	05:20:00	42204.40	42223.80	42184.00	42222.30	37	0	10
2022.02.13	05:40:00	42222.30	42304.60	42222.30	42255.10	424	0	10
2022.02.13	06:00:00	42255.10	42319.30	42255.10	42286.20	305	0	10
2022.02.13	06:20:00	42286.20	42310.70	42227.60	42234.50	152	0	10
2022.02.13	06:40:00	42234.60	42244.10	42148.50	42221.20	227	0	10
2022.02.13	07:00:00	42221.20	42239.80	42180.30	42200.70	418	0	10
2022.02.13	07:20:00	42200.70	42324.50	42200.70	42274.30	518	0	10
2022.02.13	07:40:00	42274.40	42303.60	42246.80	42289.60	457	0	10
2022.02.13	08:00:00	42290.00	42290.20	42261.00	42263.90	338	0	10
2022.02.13	08:20:00	42263.90	42432.30	42263.90	42416.70	399	0	10
2022.02.13	08:40:00	42416.70	42416.70	42354.40	42408.00	682	0	10
2022.02.13	09:00:00	42429.40	42470.40	42405.50	42470.30	217	0	10
2022.02.13	09:20:00	42470.40	42471.90	42336.90	42348.80	314	0	10
2022.02.13	09:40:00	42348.60	42431.20	42348.60	42429.70	103	0	10
2022.02.13	10:00:00	42429.70	42484.80	42386.50	42447.00	473	0	10
2022.02.13	10:20:00	42446.90	42483.80	42434.10	42482.30	396	0	10
2022.02.13	10:40:00	42482.30	42484.80	42450.40	42450.50	58	0	10
2022.02.13	11:00:00	42450.50	42450.50	42327.40	42358.70	308	0	10
2022.02.13	11:20:00	42358.70	42381.50	42319.30	42319.30	209	0	10
2022.02.13	11:40:00	42319.30	42379.90	42319.30	42337.10	355	0	10
2022.02.13	12:00:00	42337.10	42337.10	42279.00	42331.50	336	0	10
2022.02.13	12:20:00	42333.00	42630.40	42331.50	42602.60	288	0	10
2022.02.13	12:40:00	42602.60	42630.40	42516.90	42630.40	1064	0	10
2022.02.13	13:00:00	42630.40	42630.40	42539.00	42578.70	141	0	10
2022.02.13	13:20:00	42578.70	42667.30	42578.70	42598.30	384	0	10
2022.02.13	13:40:00	42598.30	42601.30	42499.80	42500.20	184	0	10
2022.02.13	14:00:00	42500.20	42539.90	42448.20	42538.40	321	0	10
2022.02.13	14:20:00	42538.40	42605.70	42538.40	42575.10	154	0	10
2022.02.13	14:40:00	42576.60	42605.70	42488.70	42490.20	1288	0	10
2022.02.13	15:00:00	42491.60	42553.50	42458.80	42514.80	723	0	10
2022.02.13	15:20:00	42516.30	42580.10	42506.20	42527.20	525	0	10
2022.02.13	15:40:00	42527.20	42527.20	42478.10	42519.20	399	0	10
2022.02.13	16:00:00	42519.20	42698.30	42511.60	42519.50	825	0	10
2022.02.13	16:20:00	42519.50	42576.70	42208.50	42371.90	1159	0	10
2022.02.13	16:40:00	42371.90	42537.60	42248.30	42532.70	1228	0	10
2022.02.13	17:00:00	42534.20	42638.80	42532.70	42623.80	730	0	10
2022.02.13	17:20:00	42623.80	42761.40	42549.90	42700.80	1302	0	10
2022.02.13	17:40:00	42686.30	42710.40	42584.20	42602.50	458	0	10
2022.02.13	18:00:00	42604.00	42604.00	42375.50	42400.00	803	0	10
2022.02.13	18:20:00	42400.00	42416.70	42266.80	42277.30	844	0	10
2022.02.13	18:40:00	42272.70	42345.00	42233.80	42313.20	691	0	10
2022.02.13	19:00:00	42314.70	42320.90	42123.50	42201.60	1212	0	10
2022.02.13	19:20:00	42201.60	42280.50	42153.50	42222.00	817	0	10
2022.02.13	19:40:00	42222.00	42296.60	42205.90	42296.50	628	0	10
2022.02.13	20:00:00	42296.50	42416.30	42296.50	42331.00	622	0	10
2022.02.13	20:20:00	42331.00	42332.60	41952.30	41974.30	974	0	10
2022.02.13	20:40:00	41981.40	42019.30	41891.60	41995.10	1192	0	10
2022.02.13	21:00:00	41995.10	42175.60	41994.20	42162.80	619	0	10
2022.02.13	21:20:00	42164.30	42174.70	41998.50	42055.30	716	0	10
2022.02.13	21:40:00	42055.30	42058.90	41902.50	42048.00	969	0	10
2022.02.13	22:00:00	42048.00	42238.70	41960.40	42218.50	1036	0	10
2022.02.13	22:20:00	42218.50	42391.50	42218.50	42303.60	1371	0	10
2022.02.13	22:40:00	42303.50	42443.80	42298.50	42443.80	161	0	10
