<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.08	01:20:00	4694.8	4696.9	4694.7	4696.6	157	0	3
2021.11.08	01:40:00	4696.6	4697.6	4692.4	4692.9	335	0	2
2021.11.08	02:00:00	4692.9	4693.5	4690.7	4692.4	473	0	2
2021.11.08	02:20:00	4692.4	4692.4	4689.6	4689.7	383	0	2
2021.11.08	02:40:00	4689.6	4690.4	4687.9	4689.6	366	0	1
2021.11.08	03:00:00	4689.5	4691.5	4689.5	4691.1	450	0	1
2021.11.08	03:20:00	4691.1	4691.3	4689.0	4691.3	439	0	1
2021.11.08	03:40:00	4691.3	4693.0	4684.9	4686.7	497	0	1
2021.11.08	04:00:00	4686.6	4688.7	4685.9	4688.7	387	0	2
2021.11.08	04:20:00	4688.7	4689.7	4687.4	4687.6	334	0	1
2021.11.08	04:40:00	4687.5	4688.5	4685.7	4688.5	326	0	1
2021.11.08	05:00:00	4688.7	4689.4	4687.9	4688.2	279	0	2
2021.11.08	05:20:00	4688.2	4689.2	4688.0	4688.3	262	0	2
2021.11.08	05:40:00	4688.3	4688.5	4687.9	4688.4	185	0	2
2021.11.08	06:00:00	4688.4	4689.4	4688.2	4688.7	173	0	2
2021.11.08	06:20:00	4688.7	4689.3	4688.0	4688.7	162	0	2
2021.11.08	06:40:00	4688.7	4688.7	4687.1	4687.9	144	0	2
2021.11.08	07:00:00	4687.9	4689.4	4687.5	4688.5	232	0	2
2021.11.08	07:20:00	4688.5	4692.0	4688.3	4691.7	280	0	2
2021.11.08	07:40:00	4691.7	4692.7	4688.1	4692.0	334	0	2
2021.11.08	08:00:00	4692.4	4693.0	4690.9	4692.4	325	0	2
2021.11.08	08:20:00	4692.4	4693.3	4689.9	4689.9	265	0	2
2021.11.08	08:40:00	4689.9	4690.5	4688.8	4689.7	244	0	2
2021.11.08	09:00:00	4689.6	4693.4	4688.8	4693.4	352	0	2
2021.11.08	09:20:00	4693.5	4693.7	4691.7	4692.3	294	0	2
2021.11.08	09:40:00	4692.2	4693.2	4690.3	4692.2	262	0	2
2021.11.08	10:00:00	4692.4	4697.1	4691.5	4694.6	812	0	0
2021.11.08	10:20:00	4694.6	4695.7	4692.4	4694.3	660	0	0
2021.11.08	10:40:00	4694.4	4699.1	4693.9	4698.3	403	0	0
2021.11.08	11:00:00	4698.1	4701.6	4697.6	4701.0	554	0	0
2021.11.08	11:20:00	4701.0	4702.4	4700.1	4701.0	387	0	0
2021.11.08	11:40:00	4700.9	4700.9	4699.4	4699.9	297	0	0
2021.11.08	12:00:00	4699.9	4700.2	4698.4	4700.1	281	0	0
2021.11.08	12:20:00	4700.1	4702.8	4699.6	4702.7	175	0	0
2021.11.08	12:40:00	4702.7	4703.0	4699.9	4701.2	149	0	0
2021.11.08	13:00:00	4701.2	4702.2	4700.8	4701.5	147	0	0
2021.11.08	13:20:00	4701.5	4702.7	4700.4	4702.2	155	0	0
2021.11.08	13:40:00	4702.3	4703.0	4702.2	4702.3	218	0	0
2021.11.08	14:00:00	4702.2	4702.5	4699.7	4701.9	184	0	0
2021.11.08	14:20:00	4701.8	4703.2	4701.0	4702.1	240	0	0
2021.11.08	14:40:00	4702.2	4702.2	4699.9	4700.6	282	0	1
2021.11.08	15:00:00	4700.6	4703.6	4700.4	4703.1	315	0	0
2021.11.08	15:20:00	4703.2	4706.5	4703.0	4706.3	266	0	0
2021.11.08	15:40:00	4706.3	4708.6	4705.4	4708.5	280	0	0
2021.11.08	16:00:00	4708.4	4710.8	4707.5	4710.1	409	0	0
2021.11.08	16:20:00	4710.4	4715.3	4705.9	4706.9	1092	0	1
2021.11.08	16:40:00	4707.3	4711.1	4703.4	4707.4	1344	0	1
2021.11.08	17:00:00	4707.6	4709.6	4701.9	4708.8	867	0	1
2021.11.08	17:20:00	4708.8	4710.9	4704.5	4704.7	814	0	1
2021.11.08	17:40:00	4704.6	4708.1	4699.9	4703.7	955	0	1
2021.11.08	18:00:00	4703.9	4706.1	4699.8	4704.0	857	0	1
2021.11.08	18:20:00	4704.0	4706.6	4702.4	4702.9	667	0	0
2021.11.08	18:40:00	4702.9	4703.6	4698.4	4699.6	632	0	1
2021.11.08	19:00:00	4699.4	4700.6	4695.2	4699.1	694	0	1
2021.11.08	19:20:00	4699.2	4700.9	4697.1	4697.3	582	0	1
2021.11.08	19:40:00	4697.3	4700.1	4695.5	4699.1	677	0	1
2021.11.08	20:00:00	4699.2	4702.2	4697.6	4701.4	590	0	1
2021.11.08	20:20:00	4701.4	4702.9	4699.7	4701.2	573	0	1
2021.11.08	20:40:00	4701.4	4704.2	4700.5	4703.4	415	0	1
2021.11.08	21:00:00	4703.4	4707.4	4703.3	4706.7	411	0	1
2021.11.08	21:20:00	4706.7	4706.9	4702.1	4704.9	488	0	0
2021.11.08	21:40:00	4704.9	4707.6	4704.6	4707.6	343	0	1
2021.11.08	22:00:00	4707.6	4707.6	4704.1	4705.6	475	0	1
2021.11.08	22:20:00	4705.7	4707.4	4702.2	4705.4	497	0	0
2021.11.08	22:40:00	4705.4	4705.5	4698.4	4702.6	936	0	0
2021.11.09	01:20:00	4697.9	4698.3	4697.1	4697.6	66	0	2
2021.11.09	01:40:00	4697.8	4699.4	4696.1	4696.6	197	0	0
2021.11.09	02:00:00	4696.6	4697.8	4693.0	4693.1	430	0	1
2021.11.09	02:20:00	4693.3	4694.4	4690.4	4691.1	280	0	1
2021.11.09	02:40:00	4691.6	4691.8	4689.6	4690.3	185	0	1
2021.11.09	03:00:00	4690.3	4691.6	4689.2	4691.4	225	0	0
2021.11.09	03:20:00	4691.6	4691.6	4688.3	4689.8	254	0	1
2021.11.09	03:40:00	4689.8	4690.6	4688.8	4689.8	209	0	0
2021.11.09	04:00:00	4689.8	4692.8	4689.6	4692.8	239	0	1
2021.11.09	04:20:00	4692.8	4692.8	4691.6	4692.3	154	0	1
2021.11.09	04:40:00	4692.3	4693.4	4692.1	4692.6	116	0	1
2021.11.09	05:00:00	4692.6	4693.1	4691.6	4692.1	139	0	1
2021.11.09	05:20:00	4692.1	4692.8	4690.1	4690.8	154	0	1
2021.11.09	05:40:00	4690.8	4691.1	4688.0	4689.4	258	0	0
2021.11.09	06:00:00	4689.4	4690.3	4689.1	4689.1	94	0	0
2021.11.09	06:20:00	4689.1	4690.8	4688.7	4690.6	99	0	0
2021.11.09	06:40:00	4690.6	4690.6	4689.1	4689.8	87	0	0
2021.11.09	07:00:00	4689.8	4691.1	4689.8	4691.1	113	0	1
2021.11.09	07:20:00	4691.1	4693.3	4691.1	4693.3	114	0	1
2021.11.09	07:40:00	4693.3	4695.8	4693.3	4695.3	128	0	1
2021.11.09	08:00:00	4695.3	4696.8	4695.3	4695.8	118	0	1
2021.11.09	08:20:00	4695.8	4696.6	4694.6	4695.6	123	0	1
2021.11.09	08:40:00	4695.8	4695.8	4695.1	4695.6	75	0	1
2021.11.09	09:00:00	4695.6	4696.3	4694.6	4696.1	126	0	1
2021.11.09	09:20:00	4696.1	4697.3	4695.3	4695.3	125	0	0
2021.11.09	09:40:00	4695.6	4695.6	4693.6	4694.3	159	0	0
2021.11.09	10:00:00	4694.3	4699.8	4693.1	4699.1	465	0	0
2021.11.09	10:20:00	4699.1	4702.6	4698.6	4701.3	263	0	0
2021.11.09	10:40:00	4701.3	4703.8	4701.1	4702.3	209	0	0
2021.11.09	11:00:00	4702.3	4702.8	4700.3	4701.6	244	0	0
2021.11.09	11:20:00	4701.6	4701.8	4699.3	4701.5	157	0	0
2021.11.09	11:40:00	4701.3	4703.6	4701.1	4702.8	140	0	0
2021.11.09	12:00:00	4702.8	4705.2	4702.8	4704.6	149	0	0
2021.11.09	12:20:00	4704.6	4704.8	4702.8	4703.8	118	0	0
2021.11.09	12:40:00	4703.8	4704.3	4702.8	4703.3	192	0	0
2021.11.09	13:00:00	4703.3	4704.6	4702.1	4704.6	127	0	0
2021.11.09	13:20:00	4704.3	4705.1	4703.1	4703.6	110	0	0
2021.11.09	13:40:00	4703.7	4704.1	4703.1	4703.3	87	0	0
2021.11.09	14:00:00	4703.1	4704.0	4702.6	4702.8	115	0	0
2021.11.09	14:20:00	4702.8	4703.2	4700.6	4701.1	124	0	0
2021.11.09	14:40:00	4701.1	4701.8	4695.1	4696.8	261	0	0
