<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.08	01:00:00	1815.69	1817.79	1815.46	1816.55	562	0	8
2021.11.08	01:15:00	1816.55	1817.05	1815.85	1816.73	426	0	5
2021.11.08	01:30:00	1816.75	1818.24	1816.25	1816.86	287	0	5
2021.11.08	01:45:00	1816.86	1817.13	1815.86	1815.86	221	0	5
2021.11.08	02:00:00	1815.86	1816.13	1814.63	1814.93	414	0	5
2021.11.08	02:15:00	1814.93	1815.85	1814.51	1814.62	443	0	5
2021.11.08	02:30:00	1814.61	1815.20	1813.63	1813.63	315	0	5
2021.11.08	02:45:00	1813.64	1814.13	1812.97	1813.54	401	0	5
2021.11.08	03:00:00	1813.54	1820.92	1813.51	1819.05	1590	0	5
2021.11.08	03:15:00	1819.01	1821.03	1817.26	1817.32	1171	0	5
2021.11.08	03:30:00	1817.32	1818.03	1816.14	1817.66	1234	0	5
2021.11.08	03:45:00	1817.66	1818.41	1816.22	1816.65	1130	0	5
2021.11.08	04:00:00	1816.62	1819.64	1816.62	1818.40	830	0	5
2021.11.08	04:15:00	1818.41	1819.90	1818.41	1819.51	697	0	5
2021.11.08	04:30:00	1819.50	1820.32	1818.98	1819.90	958	0	5
2021.11.08	04:45:00	1819.90	1820.12	1818.67	1819.49	945	0	5
2021.11.08	05:00:00	1819.49	1820.03	1818.37	1818.40	527	0	5
2021.11.08	05:15:00	1818.39	1818.70	1817.61	1818.60	646	0	5
2021.11.08	05:30:00	1818.66	1819.02	1817.79	1818.63	465	0	5
2021.11.08	05:45:00	1818.62	1819.26	1818.14	1819.09	370	0	5
2021.11.08	06:00:00	1819.14	1820.12	1818.63	1819.56	395	0	5
2021.11.08	06:15:00	1819.58	1820.35	1819.12	1820.21	416	0	5
2021.11.08	06:30:00	1820.22	1820.29	1819.48	1819.98	328	0	5
2021.11.08	06:45:00	1820.05	1820.60	1819.22	1819.98	528	0	5
2021.11.08	07:00:00	1819.98	1820.09	1819.58	1819.63	305	0	5
2021.11.08	07:15:00	1819.63	1820.08	1819.21	1819.78	544	0	5
2021.11.08	07:30:00	1819.78	1820.14	1818.80	1819.49	501	0	5
2021.11.08	07:45:00	1819.49	1821.23	1819.17	1821.04	511	0	5
2021.11.08	08:00:00	1821.02	1821.45	1820.47	1820.89	494	0	5
2021.11.08	08:15:00	1820.87	1821.06	1816.65	1817.64	693	0	5
2021.11.08	08:30:00	1817.66	1818.02	1816.50	1817.31	1002	0	5
