<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.22	04:30:00	26576	26626	26574	26608	271	0	0
2019.04.22	05:00:00	26607	26618	26604	26610	139	0	0
2019.04.22	05:30:00	26609	26610	26598	26602	177	0	0
2019.04.22	06:00:00	26602	26616	26593	26613	281	0	0
2019.04.22	06:30:00	26613	26631	26613	26620	198	0	0
2019.04.22	07:00:00	26619	26623	26527	26530	256	0	0
2019.04.22	07:30:00	26530	26569	26515	26561	344	0	0
2019.04.22	08:00:00	26561	26562	26539	26551	290	0	0
2019.04.22	08:30:00	26552	26566	26545	26552	196	0	0
2019.04.22	09:00:00	26551	26558	26536	26542	202	0	0
2019.04.22	09:30:00	26542	26543	26529	26533	156	0	0
2019.04.22	10:00:00	26532	26537	26529	26534	132	0	0
2019.04.22	10:30:00	26534	26545	26531	26533	148	0	0
2019.04.22	11:00:00	26533	26546	26525	26539	136	0	0
2019.04.22	11:30:00	26540	26546	26532	26536	111	0	0
2019.04.22	12:00:00	26538	26547	26527	26533	152	0	0
2019.04.22	12:30:00	26532	26538	26528	26536	108	0	0
2019.04.22	13:00:00	26536	26540	26516	26522	200	0	0
2019.04.22	13:30:00	26522	26530	26519	26524	131	0	0
2019.04.22	14:00:00	26523	26525	26517	26519	112	0	0
2019.04.22	14:30:00	26519	26520	26500	26507	126	0	0
2019.04.22	15:00:00	26506	26516	26495	26506	145	0	0
2019.04.22	15:30:00	26507	26507	26496	26503	130	0	0
2019.04.22	16:00:00	26502	26523	26498	26516	167	0	0
2019.04.22	16:30:00	26515	26523	26503	26505	145	0	0
2019.04.22	17:00:00	26506	26517	26499	26509	172	0	0
2019.04.22	17:30:00	26508	26514	26499	26510	175	0	0
2019.04.22	18:00:00	26510	26511	26476	26488	272	0	0
2019.04.22	18:30:00	26487	26494	26463	26469	230	0	0
2019.04.22	19:00:00	26469	26485	26461	26462	217	0	0
2019.04.22	19:30:00	26464	26527	26450	26504	560	0	0
2019.04.22	20:00:00	26503	26517	26477	26497	405	0	0
2019.04.22	20:30:00	26497	26519	26483	26514	403	0	0
2019.04.22	21:00:00	26513	26544	26498	26540	375	0	0
2019.04.22	21:30:00	26539	26552	26531	26539	299	0	0
2019.04.22	22:00:00	26538	26540	26520	26532	294	0	0
2019.04.22	22:30:00	26531	26537	26521	26527	215	0	0
2019.04.22	23:00:00	26527	26528	26507	26514	200	0	0
2019.04.22	23:30:00	26513	26528	26508	26518	220	0	0
2019.04.23	00:00:00	26519	26525	26509	26517	211	0	0
2019.04.23	00:30:00	26518	26518	26500	26503	203	0	0
2019.04.23	01:00:00	26503	26517	26491	26502	225	0	0
2019.04.23	01:30:00	26503	26522	26502	26513	248	0	0
2019.04.23	04:30:00	26519	26520	26515	26519	72	0	0
2019.04.23	05:00:00	26519	26525	26513	26514	111	0	0
2019.04.23	05:30:00	26514	26515	26504	26509	130	0	0
2019.04.23	06:00:00	26510	26521	26494	26497	217	0	0
2019.04.23	06:30:00	26498	26499	26478	26480	190	0	0
2019.04.23	07:00:00	26480	26486	26464	26470	221	0	0
2019.04.23	07:30:00	26472	26495	26468	26494	215	0	0
2019.04.23	08:00:00	26495	26506	26486	26496	171	0	0
2019.04.23	08:30:00	26497	26513	26497	26499	163	0	0
2019.04.23	09:00:00	26498	26514	26495	26512	146	0	0
2019.04.23	09:30:00	26512	26514	26504	26507	131	0	0
2019.04.23	10:00:00	26508	26509	26499	26502	77	0	0
2019.04.23	10:30:00	26502	26513	26501	26509	97	0	0
2019.04.23	11:00:00	26508	26524	26508	26523	129	0	0
2019.04.23	11:30:00	26523	26539	26522	26531	143	0	0
2019.04.23	12:00:00	26533	26539	26527	26537	169	0	0
2019.04.23	12:30:00	26536	26541	26523	26523	135	0	0
2019.04.23	13:00:00	26524	26527	26491	26503	218	0	0
2019.04.23	13:30:00	26503	26512	26496	26505	188	0	0
2019.04.23	14:00:00	26504	26526	26500	26517	183	0	0
2019.04.23	14:30:00	26517	26525	26513	26513	149	0	0
2019.04.23	15:00:00	26514	26514	26500	26500	158	0	0
2019.04.23	15:30:00	26500	26502	26486	26493	186	0	0
2019.04.23	16:00:00	26493	26502	26490	26498	150	0	0
