<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	1.12130	1.12141	1.12116	1.12120	381	0	5
2020.01.02	06:30:00	1.12120	1.12120	1.12006	1.12009	522	0	4
2020.01.02	07:00:00	1.12009	1.12031	1.12006	1.12015	402	0	5
2020.01.02	07:30:00	1.12015	1.12041	1.12009	1.12041	281	0	5
2020.01.02	08:00:00	1.12041	1.12067	1.12040	1.12051	429	0	4
2020.01.02	08:30:00	1.12051	1.12073	1.12035	1.12072	373	0	4
2020.01.02	09:00:00	1.12074	1.12097	1.12053	1.12062	876	0	4
2020.01.02	09:30:00	1.12067	1.12100	1.12041	1.12096	843	0	4
2020.01.02	10:00:00	1.12096	1.12134	1.12050	1.12071	1052	0	4
2020.01.02	10:30:00	1.12071	1.12122	1.12058	1.12116	812	0	4
2020.01.02	11:00:00	1.12113	1.12138	1.12090	1.12097	744	0	4
2020.01.02	11:30:00	1.12097	1.12109	1.12009	1.12027	739	0	4
2020.01.02	12:00:00	1.12027	1.12035	1.11926	1.11929	765	0	5
2020.01.02	12:30:00	1.11929	1.11993	1.11926	1.11980	764	0	4
2020.01.02	13:00:00	1.11979	1.12019	1.11938	1.11945	1011	0	4
2020.01.02	13:30:00	1.11945	1.11952	1.11840	1.11845	875	0	4
2020.01.02	14:00:00	1.11845	1.11921	1.11828	1.11914	858	0	4
2020.01.02	14:30:00	1.11914	1.11940	1.11897	1.11927	851	0	4
2020.01.02	15:00:00	1.11927	1.11966	1.11907	1.11951	893	0	4
2020.01.02	15:30:00	1.11951	1.11967	1.11893	1.11960	1020	0	4
2020.01.02	16:00:00	1.11959	1.11962	1.11764	1.11771	1198	0	4
2020.01.02	16:30:00	1.11772	1.11798	1.11698	1.11737	1500	0	4
2020.01.02	17:00:00	1.11737	1.11778	1.11707	1.11737	1392	0	4
2020.01.02	17:30:00	1.11737	1.12021	1.11722	1.12002	2200	0	4
2020.01.02	18:00:00	1.12002	1.12028	1.11826	1.11841	1755	0	4
2020.01.02	18:30:00	1.11842	1.11861	1.11649	1.11660	1203	0	4
2020.01.02	19:00:00	1.11660	1.11709	1.11633	1.11702	996	0	4
2020.01.02	19:30:00	1.11702	1.11715	1.11643	1.11696	812	0	5
2020.01.02	20:00:00	1.11696	1.11710	1.11634	1.11672	856	0	4
2020.01.02	20:30:00	1.11672	1.11718	1.11662	1.11699	565	0	5
2020.01.02	21:00:00	1.11699	1.11700	1.11673	1.11680	709	0	5
2020.01.02	21:30:00	1.11680	1.11680	1.11641	1.11660	730	0	4
2020.01.02	22:00:00	1.11660	1.11714	1.11657	1.11708	637	0	4
2020.01.02	22:30:00	1.11708	1.11710	1.11665	1.11690	708	0	4
2020.01.02	23:00:00	1.11689	1.11732	1.11687	1.11731	292	0	4
2020.01.02	23:30:00	1.11730	1.11730	1.11710	1.11721	387	0	4
2020.01.03	00:00:00	1.11721	1.11725	1.11676	1.11705	165	0	4
2020.01.03	00:30:00	1.11705	1.11725	1.11703	1.11710	147	0	8
2020.01.03	01:00:00	1.11708	1.11732	1.11708	1.11726	196	0	5
2020.01.03	01:30:00	1.11726	1.11731	1.11700	1.11706	153	0	4
2020.01.03	02:00:00	1.11706	1.11736	1.11695	1.11723	319	0	4
2020.01.03	02:30:00	1.11723	1.11758	1.11721	1.11752	189	0	5
2020.01.03	03:00:00	1.11752	1.11782	1.11743	1.11758	281	0	5
2020.01.03	03:30:00	1.11758	1.11767	1.11721	1.11734	670	0	5
2020.01.03	04:00:00	1.11734	1.11768	1.11731	1.11761	727	0	4
2020.01.03	04:30:00	1.11761	1.11772	1.11716	1.11723	842	0	4
2020.01.03	05:00:00	1.11723	1.11730	1.11694	1.11715	659	0	5
2020.01.03	05:30:00	1.11715	1.11734	1.11709	1.11719	415	0	5
2020.01.03	06:00:00	1.11717	1.11746	1.11716	1.11734	400	0	5
2020.01.03	06:30:00	1.11734	1.11740	1.11683	1.11697	331	0	5
2020.01.03	07:00:00	1.11697	1.11702	1.11642	1.11662	587	0	5
2020.01.03	07:30:00	1.11662	1.11698	1.11654	1.11661	481	0	4
2020.01.03	08:00:00	1.11661	1.11680	1.11637	1.11672	594	0	4
2020.01.03	08:30:00	1.11672	1.11692	1.11670	1.11688	315	0	5
2020.01.03	09:00:00	1.11688	1.11712	1.11562	1.11583	1295	0	4
2020.01.03	09:30:00	1.11583	1.11599	1.11518	1.11529	1360	0	4
2020.01.03	10:00:00	1.11529	1.11602	1.11517	1.11580	1451	0	4
2020.01.03	10:30:00	1.11580	1.11586	1.11504	1.11509	1207	0	4
2020.01.03	11:00:00	1.11510	1.11520	1.11428	1.11467	1264	0	4
2020.01.03	11:30:00	1.11467	1.11493	1.11397	1.11398	1237	0	4
2020.01.03	12:00:00	1.11398	1.11432	1.11311	1.11345	1508	0	4
2020.01.03	12:30:00	1.11345	1.11365	1.11304	1.11357	1070	0	4
2020.01.03	13:00:00	1.11357	1.11357	1.11263	1.11294	1050	0	4
2020.01.03	13:30:00	1.11294	1.11309	1.11248	1.11296	953	0	4
2020.01.03	14:00:00	1.11296	1.11324	1.11279	1.11300	954	0	4
2020.01.03	14:30:00	1.11300	1.11423	1.11296	1.11388	1041	0	4
2020.01.03	15:00:00	1.11388	1.11485	1.11373	1.11455	1300	0	4
2020.01.03	15:30:00	1.11455	1.11475	1.11370	1.11380	851	0	4
2020.01.03	16:00:00	1.11378	1.11486	1.11351	1.11460	1085	0	4
2020.01.03	16:30:00	1.11462	1.11539	1.11458	1.11520	1496	0	4
2020.01.03	17:00:00	1.11520	1.11669	1.11520	1.11627	2437	0	4
2020.01.03	17:30:00	1.11627	1.11671	1.11558	1.11632	1481	0	4
2020.01.03	18:00:00	1.11632	1.11742	1.11622	1.11733	1211	0	4
2020.01.03	18:30:00	1.11733	1.11795	1.11709	1.11717	1176	0	4
2020.01.03	19:00:00	1.11718	1.11738	1.11706	1.11725	773	0	4
2020.01.03	19:30:00	1.11725	1.11734	1.11675	1.11718	575	0	4
2020.01.03	20:00:00	1.11718	1.11730	1.11695	1.11698	582	0	5
2020.01.03	20:30:00	1.11698	1.11713	1.11658	1.11663	1157	0	4
2020.01.03	21:00:00	1.11663	1.11678	1.11610	1.11626	1105	0	4
2020.01.03	21:30:00	1.11628	1.11674	1.11613	1.11671	775	0	5
2020.01.03	22:00:00	1.11671	1.11671	1.11613	1.11615	531	0	5
2020.01.03	22:30:00	1.11613	1.11617	1.11598	1.11612	441	0	4
2020.01.03	23:00:00	1.11610	1.11617	1.11576	1.11597	328	0	5
2020.01.03	23:30:00	1.11597	1.11598	1.11519	1.11557	273	0	5
2020.01.06	00:00:00	1.11640	1.11660	1.11580	1.11592	192	0	5
2020.01.06	00:30:00	1.11592	1.11612	1.11589	1.11590	172	0	6
2020.01.06	01:00:00	1.11590	1.11673	1.11590	1.11671	634	0	4
2020.01.06	01:30:00	1.11671	1.11673	1.11601	1.11601	899	0	4
2020.01.06	02:00:00	1.11601	1.11678	1.11598	1.11668	776	0	4
2020.01.06	02:30:00	1.11669	1.11680	1.11626	1.11633	639	0	4
2020.01.06	03:00:00	1.11633	1.11651	1.11616	1.11631	595	0	5
2020.01.06	03:30:00	1.11631	1.11636	1.11610	1.11625	490	0	5
2020.01.06	04:00:00	1.11625	1.11663	1.11620	1.11662	398	0	5
2020.01.06	04:30:00	1.11662	1.11668	1.11641	1.11651	317	0	5
2020.01.06	05:00:00	1.11651	1.11705	1.11650	1.11701	374	0	4
2020.01.06	05:30:00	1.11701	1.11707	1.11655	1.11656	563	0	4
2020.01.06	06:00:00	1.11656	1.11660	1.11622	1.11631	492	0	4
2020.01.06	06:30:00	1.11631	1.11641	1.11614	1.11640	311	0	5
2020.01.06	07:00:00	1.11640	1.11648	1.11635	1.11641	293	0	6
2020.01.06	07:30:00	1.11641	1.11645	1.11603	1.11621	317	0	5
2020.01.06	08:00:00	1.11621	1.11623	1.11569	1.11601	476	0	4
2020.01.06	08:30:00	1.11601	1.11612	1.11572	1.11604	427	0	5
2020.01.06	09:00:00	1.11601	1.11648	1.11593	1.11626	933	0	4
2020.01.06	09:30:00	1.11625	1.11664	1.11613	1.11642	909	0	4
2020.01.06	10:00:00	1.11645	1.11695	1.11628	1.11663	1171	0	4
2020.01.06	10:30:00	1.11663	1.11796	1.11651	1.11783	1128	0	4
2020.01.06	11:00:00	1.11782	1.11812	1.11750	1.11787	977	0	4
2020.01.06	11:30:00	1.11788	1.11934	1.11783	1.11930	1141	0	4
2020.01.06	12:00:00	1.11930	1.11993	1.11897	1.11959	1045	0	4
2020.01.06	12:30:00	1.11959	1.11980	1.11922	1.11959	785	0	5
2020.01.06	13:00:00	1.11959	1.12050	1.11959	1.12022	1161	0	4
2020.01.06	13:30:00	1.12022	1.12052	1.12007	1.12030	802	0	4
2020.01.06	14:00:00	1.12030	1.12040	1.11956	1.11978	666	0	4
2020.01.06	14:30:00	1.11978	1.11995	1.11950	1.11978	596	0	4
2020.01.06	15:00:00	1.11980	1.11999	1.11910	1.11957	954	0	4
2020.01.06	15:30:00	1.11957	1.12030	1.11947	1.11975	955	0	4
2020.01.06	16:00:00	1.11974	1.12000	1.11927	1.11944	862	0	4
2020.01.06	16:30:00	1.11944	1.11960	1.11824	1.11829	1175	0	4
2020.01.06	17:00:00	1.11829	1.11879	1.11824	1.11874	1020	0	4
2020.01.06	17:30:00	1.11874	1.11899	1.11819	1.11883	1502	0	4
2020.01.06	18:00:00	1.11884	1.11894	1.11807	1.11855	1081	0	4
2020.01.06	18:30:00	1.11854	1.11876	1.11844	1.11870	863	0	4
2020.01.06	19:00:00	1.11870	1.11958	1.11840	1.11927	703	0	5
2020.01.06	19:30:00	1.11927	1.11948	1.11904	1.11947	470	0	4
2020.01.06	20:00:00	1.11947	1.11964	1.11929	1.11953	576	0	5
2020.01.06	20:30:00	1.11953	1.11976	1.11915	1.11917	480	0	5
2020.01.06	21:00:00	1.11917	1.11926	1.11899	1.11918	344	0	4
2020.01.06	21:30:00	1.11918	1.11920	1.11878	1.11910	418	0	5
2020.01.06	22:00:00	1.11910	1.11915	1.11888	1.11900	389	0	5
2020.01.06	22:30:00	1.11899	1.11935	1.11891	1.11932	435	0	4
2020.01.06	23:00:00	1.11929	1.11953	1.11926	1.11944	202	0	5
2020.01.06	23:30:00	1.11944	1.11988	1.11944	1.11967	301	0	3
2020.01.07	00:00:00	1.11959	1.11959	1.11927	1.11944	188	0	4
2020.01.07	00:30:00	1.11944	1.11963	1.11943	1.11950	141	0	5
2020.01.07	01:00:00	1.11950	1.11973	1.11945	1.11949	328	0	5
2020.01.07	01:30:00	1.11949	1.11960	1.11938	1.11951	437	0	5
2020.01.07	02:00:00	1.11950	1.11953	1.11928	1.11934	453	0	5
2020.01.07	02:30:00	1.11934	1.11934	1.11889	1.11895	411	0	4
2020.01.07	03:00:00	1.11895	1.11969	1.11894	1.11963	467	0	5
2020.01.07	03:30:00	1.11963	1.11967	1.11931	1.11932	450	0	4
2020.01.07	04:00:00	1.11932	1.11932	1.11912	1.11916	271	0	5
2020.01.07	04:30:00	1.11916	1.11921	1.11907	1.11912	155	0	6
2020.01.07	05:00:00	1.11912	1.11941	1.11909	1.11928	274	0	5
2020.01.07	05:30:00	1.11928	1.11942	1.11918	1.11920	274	0	5
2020.01.07	06:00:00	1.11920	1.11932	1.11909	1.11928	328	0	5
2020.01.07	06:30:00	1.11927	1.11931	1.11903	1.11906	259	0	4
2020.01.07	07:00:00	1.11906	1.11922	1.11899	1.11911	227	0	5
2020.01.07	07:30:00	1.11911	1.11916	1.11826	1.11827	336	0	4
2020.01.07	08:00:00	1.11827	1.11883	1.11806	1.11850	839	0	4
2020.01.07	08:30:00	1.11850	1.11894	1.11808	1.11815	797	0	4
2020.01.07	09:00:00	1.11813	1.11851	1.11780	1.11812	1072	0	4
2020.01.07	09:30:00	1.11811	1.11813	1.11727	1.11738	1256	0	4
2020.01.07	10:00:00	1.11739	1.11806	1.11723	1.11803	1223	0	5
2020.01.07	10:30:00	1.11802	1.11873	1.11800	1.11843	1355	0	4
2020.01.07	11:00:00	1.11843	1.11894	1.11806	1.11828	1053	0	5
2020.01.07	11:30:00	1.11826	1.11843	1.11802	1.11842	879	0	5
2020.01.07	12:00:00	1.11841	1.11858	1.11645	1.11658	1310	0	4
2020.01.07	12:30:00	1.11660	1.11764	1.11659	1.11760	924	0	4
2020.01.07	13:00:00	1.11760	1.11790	1.11718	1.11785	938	0	5
2020.01.07	13:30:00	1.11785	1.11847	1.11761	1.11815	937	0	4
2020.01.07	14:00:00	1.11815	1.11830	1.11769	1.11793	939	0	4
2020.01.07	14:30:00	1.11793	1.11803	1.11709	1.11745	948	0	4
2020.01.07	15:00:00	1.11744	1.11777	1.11674	1.11735	1417	0	4
2020.01.07	15:30:00	1.11735	1.11735	1.11545	1.11559	1393	0	4
2020.01.07	16:00:00	1.11558	1.11620	1.11548	1.11574	1041	0	4
