<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.11	01:00:00	1307.92	1308.41	1307.70	1307.97	436	0	15
2019.04.11	01:30:00	1307.97	1308.46	1307.90	1308.03	339	0	12
2019.04.11	02:00:00	1308.02	1308.86	1308.00	1308.64	253	0	16
2019.04.11	02:30:00	1308.66	1309.15	1307.95	1308.04	317	0	16
2019.04.11	03:00:00	1308.07	1308.27	1307.24	1307.30	593	0	17
2019.04.11	03:30:00	1307.37	1307.71	1306.96	1307.71	696	0	15
2019.04.11	04:00:00	1307.72	1308.28	1307.42	1308.14	693	0	16
2019.04.11	04:30:00	1308.14	1308.14	1306.57	1306.95	646	0	17
2019.04.11	05:00:00	1306.95	1307.10	1306.36	1306.98	437	0	16
2019.04.11	05:30:00	1306.92	1306.98	1306.28	1306.68	435	0	16
2019.04.11	06:00:00	1306.68	1306.71	1306.21	1306.41	338	0	17
2019.04.11	06:30:00	1306.31	1306.62	1306.31	1306.61	159	0	15
2019.04.11	07:00:00	1306.61	1306.61	1306.02	1306.02	160	0	18
2019.04.11	07:30:00	1306.12	1307.17	1306.12	1307.13	201	0	13
2019.04.11	08:00:00	1307.13	1307.52	1306.82	1307.11	223	0	15
2019.04.11	08:30:00	1307.11	1308.13	1307.11	1307.83	333	0	15
2019.04.11	09:00:00	1307.83	1308.22	1307.05	1307.06	439	0	14
2019.04.11	09:30:00	1307.06	1307.44	1306.21	1306.54	822	0	16
2019.04.11	10:00:00	1306.54	1306.55	1305.08	1305.51	1276	0	13
2019.04.11	10:30:00	1305.51	1305.75	1304.63	1305.22	735	0	17
2019.04.11	11:00:00	1305.22	1305.22	1303.64	1303.76	838	0	16
2019.04.11	11:30:00	1303.71	1304.94	1303.70	1304.68	780	0	12
2019.04.11	12:00:00	1304.68	1304.73	1303.88	1304.00	547	0	16
2019.04.11	12:30:00	1304.09	1304.61	1304.09	1304.59	299	0	16
2019.04.11	13:00:00	1304.59	1305.17	1304.07	1304.19	321	0	17
2019.04.11	13:30:00	1304.19	1305.06	1303.77	1304.79	585	0	17
2019.04.11	14:00:00	1304.79	1304.79	1300.71	1300.90	1226	0	14
2019.04.11	14:30:00	1300.90	1302.13	1300.86	1300.92	1111	0	11
2019.04.11	15:00:00	1300.90	1301.00	1297.93	1298.99	2076	0	12
2019.04.11	15:30:00	1298.99	1298.99	1294.81	1295.41	2150	0	11
2019.04.11	16:00:00	1295.41	1297.73	1294.72	1297.73	1921	0	13
2019.04.11	16:30:00	1297.73	1299.61	1297.61	1298.61	2723	0	12
2019.04.11	17:00:00	1298.61	1299.18	1296.40	1298.10	2150	0	12
2019.04.11	17:30:00	1298.10	1298.23	1295.94	1296.44	1700	0	12
2019.04.11	18:00:00	1296.44	1296.54	1294.08	1294.78	1609	0	13
2019.04.11	18:30:00	1294.79	1295.24	1293.20	1294.89	1885	0	14
2019.04.11	19:00:00	1294.89	1295.00	1292.21	1293.41	1217	0	14
2019.04.11	19:30:00	1293.41	1294.02	1292.61	1292.81	821	0	15
2019.04.11	20:00:00	1292.81	1293.77	1289.55	1290.15	1832	0	14
2019.04.11	20:30:00	1290.15	1291.28	1289.81	1290.82	1027	0	14
2019.04.11	21:00:00	1290.82	1291.51	1290.52	1291.32	841	0	15
2019.04.11	21:30:00	1291.28	1291.31	1290.15	1290.19	881	0	16
2019.04.11	22:00:00	1290.10	1291.51	1290.10	1291.49	668	0	15
2019.04.11	22:30:00	1291.49	1292.05	1291.30	1291.38	882	0	12
2019.04.11	23:00:00	1291.36	1292.35	1291.36	1292.12	501	0	12
2019.04.11	23:30:00	1292.08	1292.77	1291.87	1292.31	591	0	19
2019.04.12	01:00:00	1292.52	1292.95	1291.17	1292.61	553	0	11
2019.04.12	01:30:00	1292.65	1292.71	1291.95	1292.05	243	0	11
2019.04.12	02:00:00	1292.05	1292.45	1291.82	1292.26	296	0	16
2019.04.12	02:30:00	1292.26	1292.57	1291.95	1292.18	227	0	19
2019.04.12	03:00:00	1292.10	1292.79	1291.97	1292.79	375	0	15
2019.04.12	03:30:00	1292.79	1293.69	1292.59	1293.31	1107	0	15
2019.04.12	04:00:00	1293.30	1293.52	1292.80	1293.31	533	0	16
2019.04.12	04:30:00	1293.31	1293.95	1293.04	1293.34	604	0	11
2019.04.12	05:00:00	1293.33	1293.95	1293.17	1293.59	621	0	16
2019.04.12	05:30:00	1293.52	1293.69	1292.91	1293.23	331	0	17
2019.04.12	06:00:00	1293.23	1293.23	1292.24	1292.72	375	0	16
2019.04.12	06:30:00	1292.72	1292.73	1291.12	1291.88	628	0	17
2019.04.12	07:00:00	1291.88	1292.42	1291.79	1292.42	225	0	13
2019.04.12	07:30:00	1292.42	1292.83	1292.12	1292.82	213	0	18
2019.04.12	08:00:00	1292.82	1292.93	1292.21	1292.93	223	0	17
2019.04.12	08:30:00	1292.93	1293.63	1292.77	1293.53	301	0	17
2019.04.12	09:00:00	1293.53	1294.00	1293.10	1293.93	676	0	16
2019.04.12	09:30:00	1293.97	1294.31	1292.58	1293.16	916	0	15
2019.04.12	10:00:00	1293.23	1293.62	1291.63	1291.78	834	0	13
2019.04.12	10:30:00	1291.78	1292.59	1291.36	1292.19	495	0	15
2019.04.12	11:00:00	1292.19	1293.63	1292.07	1293.03	1427	0	14
2019.04.12	11:30:00	1293.03	1293.76	1292.57	1293.56	804	0	14
2019.04.12	12:00:00	1293.56	1294.55	1293.06	1294.37	836	0	14
2019.04.12	12:30:00	1294.37	1295.78	1294.26	1294.66	1339	0	16
2019.04.12	13:00:00	1294.66	1294.91	1293.59	1294.31	977	0	15
2019.04.12	13:30:00	1294.31	1294.90	1293.41	1294.41	815	0	16
2019.04.12	14:00:00	1294.41	1294.62	1293.32	1293.95	818	0	11
2019.04.12	14:30:00	1293.93	1293.95	1292.41	1292.43	823	0	14
2019.04.12	15:00:00	1292.45	1294.27	1292.15	1293.75	1196	0	16
2019.04.12	15:30:00	1293.75	1293.75	1290.50	1291.76	1820	0	11
2019.04.12	16:00:00	1291.76	1292.48	1291.29	1291.77	1116	0	13
2019.04.12	16:30:00	1291.77	1292.95	1291.00	1292.77	1594	0	11
2019.04.12	17:00:00	1292.62	1295.18	1292.52	1294.12	1892	0	12
2019.04.12	17:30:00	1294.16	1294.26	1292.27	1292.76	1490	0	14
2019.04.12	18:00:00	1292.82	1293.03	1291.86	1292.54	1281	0	11
2019.04.12	18:30:00	1292.54	1292.81	1291.16	1291.35	1259	0	14
2019.04.12	19:00:00	1291.30	1291.68	1290.66	1291.41	1165	0	12
2019.04.12	19:30:00	1291.37	1292.00	1291.07	1291.96	606	0	11
2019.04.12	20:00:00	1291.96	1292.47	1291.56	1291.88	758	0	11
2019.04.12	20:30:00	1291.79	1292.31	1291.25	1291.37	732	0	16
2019.04.12	21:00:00	1291.37	1291.58	1291.24	1291.43	454	0	15
2019.04.12	21:30:00	1291.44	1291.54	1290.93	1290.94	444	0	16
2019.04.12	22:00:00	1290.93	1291.24	1290.34	1290.94	547	0	17
2019.04.12	22:30:00	1290.94	1291.04	1290.03	1290.23	532	0	13
2019.04.12	23:00:00	1290.23	1291.55	1290.23	1291.20	418	0	14
2019.04.12	23:30:00	1291.21	1291.34	1290.35	1290.44	272	0	17
2019.04.15	01:00:00	1290.99	1291.91	1290.85	1291.80	347	0	15
2019.04.15	01:30:00	1291.77	1291.80	1290.80	1291.20	148	0	15
2019.04.15	02:00:00	1291.20	1291.22	1290.62	1290.89	291	0	16
2019.04.15	02:30:00	1290.89	1290.89	1289.29	1289.70	393	0	15
2019.04.15	03:00:00	1289.70	1290.19	1288.68	1288.83	939	0	14
2019.04.15	03:30:00	1288.83	1290.25	1288.83	1290.25	655	0	18
2019.04.15	04:00:00	1290.26	1290.36	1287.73	1287.82	1196	0	15
2019.04.15	04:30:00	1287.83	1288.34	1286.87	1287.83	1175	0	16
2019.04.15	05:00:00	1287.83	1288.22	1287.24	1287.86	974	0	13
2019.04.15	05:30:00	1287.80	1288.48	1287.27	1288.47	392	0	14
2019.04.15	06:00:00	1288.47	1288.47	1287.80	1288.11	405	0	15
2019.04.15	06:30:00	1288.11	1289.15	1288.09	1289.12	562	0	17
2019.04.15	07:00:00	1289.12	1289.34	1289.02	1289.14	335	0	17
2019.04.15	07:30:00	1289.13	1289.46	1288.85	1289.23	282	0	19
2019.04.15	08:00:00	1289.23	1289.33	1288.22	1288.35	373	0	13
2019.04.15	08:30:00	1288.35	1289.13	1287.84	1288.05	276	0	15
2019.04.15	09:00:00	1288.04	1288.67	1287.46	1287.58	534	0	12
2019.04.15	09:30:00	1287.58	1288.06	1286.91	1287.07	564	0	12
2019.04.15	10:00:00	1287.07	1287.82	1286.75	1287.19	510	0	11
2019.04.15	10:30:00	1287.16	1287.44	1286.63	1286.94	680	0	14
2019.04.15	11:00:00	1286.94	1287.40	1285.87	1287.07	673	0	14
2019.04.15	11:30:00	1287.07	1287.67	1286.20	1286.40	592	0	15
2019.04.15	12:00:00	1286.40	1287.16	1286.20	1286.87	476	0	17
2019.04.15	12:30:00	1286.87	1287.27	1285.57	1285.69	676	0	15
2019.04.15	13:00:00	1285.69	1286.52	1285.51	1285.60	597	0	16
2019.04.15	13:30:00	1285.60	1287.13	1285.60	1286.41	347	0	16
2019.04.15	14:00:00	1286.41	1286.94	1285.82	1286.12	409	0	14
