<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.12	01:00:00	1820.14	1821.42	1820.09	1821.20	723	0	5
2022.01.12	01:30:00	1821.20	1821.74	1820.20	1820.73	1086	0	5
2022.01.12	02:00:00	1820.57	1822.13	1820.42	1821.88	1028	0	5
2022.01.12	02:30:00	1821.91	1822.55	1820.30	1820.86	922	0	5
2022.01.12	03:00:00	1820.86	1822.14	1818.39	1818.74	2457	0	5
2022.01.12	03:30:00	1818.74	1819.95	1818.74	1819.04	1469	0	5
2022.01.12	04:00:00	1819.04	1820.46	1818.99	1819.49	1448	0	5
2022.01.12	04:30:00	1819.49	1820.29	1818.94	1819.47	1088	0	5
2022.01.12	05:00:00	1819.46	1819.86	1818.79	1818.90	1010	0	5
2022.01.12	05:30:00	1818.90	1819.32	1818.10	1818.18	739	0	5
2022.01.12	06:00:00	1818.14	1819.46	1817.73	1819.10	1038	0	5
2022.01.12	06:30:00	1819.08	1819.18	1818.12	1818.16	509	0	5
2022.01.12	07:00:00	1818.16	1819.81	1818.06	1819.56	633	0	7
2022.01.12	07:30:00	1819.52	1821.53	1819.46	1820.45	1585	0	5
2022.01.12	08:00:00	1820.45	1821.48	1820.10	1820.45	1365	0	5
2022.01.12	08:30:00	1820.44	1820.74	1819.76	1820.06	918	0	5
2022.01.12	09:00:00	1820.06	1820.41	1817.77	1817.79	1832	0	5
2022.01.12	09:30:00	1817.80	1818.05	1815.85	1817.24	2002	0	5
2022.01.12	10:00:00	1817.25	1818.29	1815.42	1817.30	2349	0	5
2022.01.12	10:30:00	1817.33	1817.54	1814.71	1816.86	1996	0	5
2022.01.12	11:00:00	1816.90	1817.12	1814.98	1816.11	1826	0	5
2022.01.12	11:30:00	1816.13	1816.41	1815.33	1816.33	1537	0	5
2022.01.12	12:00:00	1816.32	1818.20	1816.01	1817.00	1560	0	5
2022.01.12	12:30:00	1817.00	1818.05	1816.08	1817.39	1377	0	5
2022.01.12	13:00:00	1817.43	1818.53	1817.26	1818.15	1286	0	5
2022.01.12	13:30:00	1818.15	1818.54	1816.31	1817.24	1524	0	5
2022.01.12	14:00:00	1817.26	1817.75	1816.34	1817.71	1595	0	5
2022.01.12	14:30:00	1817.73	1819.43	1817.67	1819.41	2084	0	5
2022.01.12	15:00:00	1819.37	1820.76	1818.15	1819.06	4193	0	5
2022.01.12	15:30:00	1819.00	1825.46	1817.32	1821.27	8628	0	5
2022.01.12	16:00:00	1821.32	1822.56	1818.89	1822.20	4555	0	5
2022.01.12	16:30:00	1822.20	1824.46	1820.91	1821.91	5569	0	5
2022.01.12	17:00:00	1821.95	1824.68	1821.20	1823.90	4462	0	5
2022.01.12	17:30:00	1823.97	1824.63	1821.00	1823.84	3918	0	5
2022.01.12	18:00:00	1823.80	1824.41	1820.12	1821.74	3658	0	5
2022.01.12	18:30:00	1821.75	1824.83	1821.74	1824.78	2540	0	5
2022.01.12	19:00:00	1824.78	1825.38	1823.87	1825.05	2010	0	5
2022.01.12	19:30:00	1825.05	1827.01	1825.00	1826.15	2010	0	5
2022.01.12	20:00:00	1826.08	1827.65	1825.61	1827.53	2674	0	5
2022.01.12	20:30:00	1827.54	1827.92	1825.89	1826.09	1404	0	5
2022.01.12	21:00:00	1826.09	1827.52	1825.85	1826.85	1074	0	5
2022.01.12	21:30:00	1826.85	1827.98	1826.63	1827.92	1272	0	5
2022.01.12	22:00:00	1827.98	1828.01	1825.95	1825.99	1112	0	5
2022.01.12	22:30:00	1826.02	1827.47	1825.90	1827.41	1128	0	5
2022.01.12	23:00:00	1827.45	1827.51	1826.85	1826.95	644	0	5
2022.01.12	23:30:00	1826.95	1827.03	1825.60	1826.14	646	0	5
2022.01.13	01:00:00	1825.78	1826.18	1825.61	1826.09	460	0	18
2022.01.13	01:30:00	1826.09	1826.15	1824.89	1825.34	532	0	5
2022.01.13	02:00:00	1825.34	1825.93	1824.35	1824.53	1226	0	5
2022.01.13	02:30:00	1824.53	1825.17	1824.19	1824.30	710	0	5
2022.01.13	03:00:00	1824.31	1825.49	1824.09	1824.90	1673	0	5
2022.01.13	03:30:00	1824.92	1826.62	1824.69	1825.42	1871	0	5
2022.01.13	04:00:00	1825.43	1825.63	1824.40	1824.48	1088	0	5
2022.01.13	04:30:00	1824.45	1825.22	1824.02	1824.36	1230	0	5
2022.01.13	05:00:00	1824.35	1825.44	1824.35	1824.96	1133	0	5
2022.01.13	05:30:00	1824.92	1825.30	1824.41	1825.18	614	0	5
2022.01.13	06:00:00	1825.12	1826.54	1825.06	1826.54	758	0	5
2022.01.13	06:30:00	1826.54	1826.54	1825.49	1825.90	503	0	5
2022.01.13	07:00:00	1825.90	1827.40	1825.82	1826.52	797	0	5
2022.01.13	07:30:00	1826.51	1828.13	1825.65	1825.88	1417	0	5
2022.01.13	08:00:00	1825.89	1826.95	1825.68	1826.28	1468	0	5
2022.01.13	08:30:00	1826.29	1826.47	1824.34	1825.24	1376	0	5
2022.01.13	09:00:00	1825.24	1826.05	1823.43	1825.78	1748	0	5
2022.01.13	09:30:00	1825.79	1827.12	1825.65	1826.65	1930	0	5
2022.01.13	10:00:00	1826.65	1827.54	1824.01	1824.32	2927	0	5
2022.01.13	10:30:00	1824.32	1824.61	1820.66	1821.11	3097	0	5
2022.01.13	11:00:00	1821.11	1821.26	1819.06	1820.70	2731	0	5
2022.01.13	11:30:00	1820.70	1822.88	1820.19	1822.81	1901	0	5
2022.01.13	12:00:00	1822.79	1824.07	1821.86	1822.56	1605	0	5
2022.01.13	12:30:00	1822.56	1822.90	1822.00	1822.67	1122	0	5
2022.01.13	13:00:00	1822.71	1823.60	1822.03	1823.57	1211	0	5
2022.01.13	13:30:00	1823.57	1824.18	1823.14	1823.67	1047	0	5
2022.01.13	14:00:00	1823.66	1825.40	1823.17	1825.12	1489	0	5
2022.01.13	14:30:00	1825.12	1826.01	1823.27	1824.30	2262	0	5
2022.01.13	15:00:00	1824.32	1825.45	1820.07	1820.87	3688	0	5
2022.01.13	15:30:00	1820.81	1824.12	1819.24	1821.98	5567	0	5
2022.01.13	16:00:00	1821.98	1823.84	1820.63	1821.03	3753	0	5
2022.01.13	16:30:00	1821.01	1822.51	1818.02	1818.63	5388	0	5
2022.01.13	17:00:00	1818.64	1820.71	1816.82	1817.94	5318	0	5
2022.01.13	17:30:00	1817.94	1818.35	1814.30	1814.70	5297	0	5
2022.01.13	18:00:00	1814.71	1817.78	1812.34	1816.60	3826	0	5
2022.01.13	18:30:00	1816.57	1819.21	1816.12	1819.11	2986	0	5
2022.01.13	19:00:00	1819.11	1821.41	1818.29	1821.18	2814	0	5
2022.01.13	19:30:00	1821.19	1821.41	1820.09	1820.62	2365	0	5
2022.01.13	20:00:00	1820.61	1821.98	1819.51	1821.73	2669	0	5
2022.01.13	20:30:00	1821.80	1821.91	1819.70	1820.43	1158	0	5
2022.01.13	21:00:00	1820.45	1821.33	1820.21	1820.87	946	0	5
2022.01.13	21:30:00	1820.86	1821.73	1820.40	1821.00	1188	0	5
2022.01.13	22:00:00	1821.01	1822.27	1820.72	1821.57	1271	0	5
2022.01.13	22:30:00	1821.57	1822.34	1820.87	1821.91	1389	0	5
2022.01.13	23:00:00	1821.95	1822.65	1821.60	1822.58	624	0	5
2022.01.13	23:30:00	1822.58	1822.89	1822.36	1822.71	511	0	5
2022.01.14	01:00:00	1821.49	1821.63	1820.78	1821.25	422	0	8
2022.01.14	01:30:00	1821.24	1822.00	1820.86	1820.86	575	0	5
2022.01.14	02:00:00	1820.86	1822.01	1820.11	1820.17	1729	0	5
2022.01.14	02:30:00	1820.17	1821.26	1819.55	1820.86	1217	0	5
2022.01.14	03:00:00	1820.86	1822.80	1820.31	1822.60	1941	0	5
2022.01.14	03:30:00	1822.57	1824.55	1822.33	1822.33	2127	0	5
2022.01.14	04:00:00	1822.39	1825.26	1822.27	1825.24	2566	0	5
2022.01.14	04:30:00	1825.24	1825.53	1824.29	1825.12	1669	0	5
2022.01.14	05:00:00	1825.14	1827.29	1824.83	1826.73	1619	0	5
2022.01.14	05:30:00	1826.73	1826.85	1825.59	1826.05	909	0	5
2022.01.14	06:00:00	1826.05	1827.25	1825.52	1826.79	943	0	5
2022.01.14	06:30:00	1826.77	1826.90	1825.77	1825.98	782	0	5
2022.01.14	07:00:00	1825.98	1826.71	1825.87	1826.25	724	0	5
2022.01.14	07:30:00	1826.25	1828.10	1825.94	1827.73	1643	0	5
2022.01.14	08:00:00	1827.71	1827.81	1826.49	1827.30	1734	0	5
2022.01.14	08:30:00	1827.28	1827.68	1826.60	1826.85	1463	0	5
2022.01.14	09:00:00	1826.85	1828.05	1825.79	1826.78	1812	0	5
2022.01.14	09:30:00	1826.81	1828.05	1826.50	1826.77	1901	0	5
2022.01.14	10:00:00	1826.77	1829.17	1826.43	1826.71	2608	0	5
2022.01.14	10:30:00	1826.59	1827.31	1824.34	1824.39	2487	0	5
2022.01.14	11:00:00	1824.39	1824.65	1821.67	1822.41	2532	0	5
2022.01.14	11:30:00	1822.40	1824.02	1822.26	1823.64	1959	0	5
2022.01.14	12:00:00	1823.64	1824.36	1821.96	1822.31	1708	0	5
2022.01.14	12:30:00	1822.36	1823.67	1821.98	1823.65	1463	0	5
2022.01.14	13:00:00	1823.64	1823.76	1819.87	1820.38	1629	0	5
2022.01.14	13:30:00	1820.39	1822.85	1819.96	1822.45	1796	0	5
2022.01.14	14:00:00	1822.45	1823.87	1821.39	1821.75	2130	0	5
2022.01.14	14:30:00	1821.75	1822.17	1819.47	1820.95	3086	0	5
2022.01.14	15:00:00	1820.95	1825.42	1819.98	1823.60	4422	0	5
2022.01.14	15:30:00	1823.60	1827.74	1823.60	1825.51	7012	0	5
2022.01.14	16:00:00	1825.49	1826.75	1822.10	1822.30	4530	0	5
2022.01.14	16:30:00	1822.30	1825.20	1819.27	1824.82	6881	0	5
2022.01.14	17:00:00	1824.65	1826.01	1821.45	1822.09	5371	0	5
2022.01.14	17:30:00	1822.10	1823.15	1820.84	1821.16	3783	0	5
2022.01.14	18:00:00	1821.15	1821.87	1817.86	1818.37	3822	0	5
2022.01.14	18:30:00	1818.33	1819.64	1817.79	1818.63	3656	0	5
2022.01.14	19:00:00	1818.61	1819.28	1815.94	1818.16	2857	0	5
2022.01.14	19:30:00	1818.16	1818.30	1815.25	1815.95	2440	0	5
2022.01.14	20:00:00	1815.95	1817.63	1815.95	1816.44	2360	0	5
2022.01.14	20:30:00	1816.51	1817.34	1814.70	1817.15	1783	0	5
2022.01.14	21:00:00	1817.17	1818.03	1816.43	1817.15	1391	0	5
2022.01.14	21:30:00	1817.15	1818.99	1817.13	1818.24	1260	0	5
2022.01.14	22:00:00	1818.25	1818.91	1816.66	1817.45	1494	0	5
2022.01.14	22:30:00	1817.45	1817.68	1816.42	1816.42	1444	0	5
2022.01.14	23:00:00	1816.42	1817.39	1816.42	1817.03	734	0	5
2022.01.14	23:30:00	1817.02	1817.80	1816.78	1817.54	336	0	7
2022.01.17	01:00:00	1817.35	1818.11	1817.03	1817.77	551	0	16
2022.01.17	01:30:00	1817.85	1817.95	1815.92	1816.42	640	0	5
2022.01.17	02:00:00	1816.42	1816.71	1814.92	1815.57	1086	0	5
2022.01.17	02:30:00	1815.57	1816.36	1814.65	1815.57	886	0	5
2022.01.17	03:00:00	1815.58	1815.65	1813.45	1814.18	2505	0	5
2022.01.17	03:30:00	1814.18	1816.57	1813.19	1816.15	2196	0	5
2022.01.17	04:00:00	1816.15	1817.00	1815.99	1816.61	1195	0	5
2022.01.17	04:30:00	1816.69	1818.48	1816.69	1818.21	1375	0	5
2022.01.17	05:00:00	1818.21	1818.92	1817.96	1818.86	1170	0	5
2022.01.17	05:30:00	1818.86	1819.50	1818.58	1818.85	709	0	5
2022.01.17	06:00:00	1818.86	1819.63	1818.84	1819.12	689	0	5
2022.01.17	06:30:00	1819.12	1820.27	1819.03	1819.40	627	0	5
2022.01.17	07:00:00	1819.40	1819.53	1818.21	1819.08	719	0	5
2022.01.17	07:30:00	1819.08	1820.57	1818.61	1819.54	1186	0	5
2022.01.17	08:00:00	1819.54	1820.48	1818.79	1819.07	1084	0	5
2022.01.17	08:30:00	1819.07	1819.54	1818.72	1819.43	861	0	5
2022.01.17	09:00:00	1819.42	1821.44	1818.80	1821.23	1460	0	5
2022.01.17	09:30:00	1821.28	1822.36	1821.20	1821.98	1499	0	5
2022.01.17	10:00:00	1821.97	1822.84	1821.09	1822.60	1577	0	5
2022.01.17	10:30:00	1822.60	1823.20	1821.57	1822.50	1262	0	5
2022.01.17	11:00:00	1822.51	1822.89	1821.37	1821.56	1348	0	5
2022.01.17	11:30:00	1821.57	1821.68	1820.62	1821.50	1245	0	5
2022.01.17	12:00:00	1821.50	1821.94	1821.26	1821.35	844	0	5
2022.01.17	12:30:00	1821.35	1821.35	1819.82	1820.88	1168	0	5
2022.01.17	13:00:00	1820.88	1821.87	1820.82	1821.85	1124	0	5
2022.01.17	13:30:00	1821.85	1821.86	1820.00	1821.35	1401	0	5
2022.01.17	14:00:00	1821.35	1821.38	1819.52	1820.66	1656	0	5
2022.01.17	14:30:00	1820.65	1820.70	1819.36	1819.75	1572	0	5
2022.01.17	15:00:00	1819.77	1820.64	1819.22	1820.13	2649	0	5
2022.01.17	15:30:00	1820.09	1821.25	1819.67	1821.01	2250	0	5
2022.01.17	16:00:00	1821.01	1821.49	1820.14	1820.53	1955	0	5
2022.01.17	16:30:00	1820.51	1821.10	1819.66	1820.16	1670	0	5
2022.01.17	17:00:00	1820.14	1820.19	1817.69	1819.67	2335	0	5
2022.01.17	17:30:00	1819.73	1819.91	1818.38	1818.90	1926	0	5
2022.01.17	18:00:00	1818.89	1819.39	1818.44	1818.99	1508	0	5
2022.01.17	18:30:00	1818.99	1819.42	1818.58	1819.35	827	0	5
2022.01.17	19:00:00	1819.35	1820.02	1819.35	1819.54	619	0	5
2022.01.17	19:30:00	1819.55	1819.71	1818.98	1819.26	548	0	5
2022.01.17	20:00:00	1819.26	1819.62	1819.13	1819.18	262	0	5
2022.01.17	20:30:00	1819.16	1819.25	1818.19	1818.19	270	0	6
2022.01.17	21:00:00	1818.22	1819.41	1818.12	1819.10	301	0	8
2022.01.18	01:00:00	1818.27	1819.19	1818.27	1818.62	284	0	8
2022.01.18	01:30:00	1818.52	1819.38	1818.39	1819.05	321	0	8
2022.01.18	02:00:00	1819.05	1820.02	1818.60	1819.86	1287	0	5
2022.01.18	02:30:00	1819.86	1820.32	1819.65	1820.19	910	0	5
2022.01.18	03:00:00	1820.19	1820.55	1819.49	1819.84	2089	0	5
2022.01.18	03:30:00	1819.84	1822.40	1819.20	1822.11	1973	0	5
2022.01.18	04:00:00	1822.14	1822.32	1821.47	1822.02	1286	0	5
2022.01.18	04:30:00	1822.02	1822.08	1821.07	1821.79	1552	0	5
2022.01.18	05:00:00	1821.82	1822.77	1820.29	1820.32	1682	0	5
2022.01.18	05:30:00	1820.31	1820.50	1815.30	1816.36	3333	0	5
2022.01.18	06:00:00	1816.36	1817.91	1815.87	1816.74	1757	0	5
2022.01.18	06:30:00	1816.84	1818.01	1816.78	1817.98	1310	0	5
2022.01.18	07:00:00	1817.94	1818.26	1816.98	1817.67	1470	0	5
2022.01.18	07:30:00	1817.68	1818.30	1815.61	1816.19	2204	0	5
2022.01.18	08:00:00	1816.14	1817.93	1815.31	1816.80	2119	0	5
2022.01.18	08:30:00	1816.81	1817.77	1816.15	1817.59	2020	0	5
2022.01.18	09:00:00	1817.58	1818.01	1812.90	1814.61	3129	0	5
2022.01.18	09:30:00	1814.59	1817.45	1813.88	1816.20	2973	0	5
2022.01.18	10:00:00	1816.22	1817.24	1813.65	1814.44	3529	0	5
2022.01.18	10:30:00	1814.36	1815.12	1812.04	1812.04	2861	0	5
2022.01.18	11:00:00	1812.06	1813.43	1811.61	1812.07	2760	0	5
2022.01.18	11:30:00	1812.07	1812.12	1809.20	1810.45	2618	0	5
2022.01.18	12:00:00	1810.59	1811.12	1809.25	1810.75	2056	0	5
2022.01.18	12:30:00	1810.76	1811.32	1809.55	1810.07	1779	0	5
2022.01.18	13:00:00	1810.20	1812.00	1809.72	1810.60	1853	0	5
2022.01.18	13:30:00	1810.60	1814.33	1810.24	1813.08	1658	0	5
2022.01.18	14:00:00	1813.10	1814.71	1812.68	1814.69	2051	0	5
2022.01.18	14:30:00	1814.71	1816.26	1812.68	1815.04	2792	0	5
2022.01.18	15:00:00	1815.13	1815.13	1805.77	1807.08	6172	0	5
2022.01.18	15:30:00	1807.18	1819.86	1807.09	1819.64	7679	0	5
2022.01.18	16:00:00	1819.78	1820.01	1811.91	1816.45	5974	0	5
2022.01.18	16:30:00	1816.49	1819.17	1812.33	1818.20	6953	0	5
2022.01.18	17:00:00	1818.18	1818.65	1813.60	1816.47	5767	0	5
2022.01.18	17:30:00	1816.39	1820.03	1815.65	1819.84	4555	0	5
2022.01.18	18:00:00	1819.81	1820.07	1810.71	1812.70	4717	0	5
2022.01.18	18:30:00	1812.70	1815.05	1811.34	1815.00	3778	0	5
2022.01.18	19:00:00	1815.00	1815.34	1813.09	1814.15	2211	0	5
2022.01.18	19:30:00	1814.14	1814.14	1811.01	1812.15	2780	0	5
2022.01.18	20:00:00	1812.15	1813.82	1810.62	1812.45	2700	0	5
2022.01.18	20:30:00	1812.45	1813.60	1812.33	1813.54	1830	0	5
2022.01.18	21:00:00	1813.53	1815.70	1813.45	1814.98	1552	0	5
2022.01.18	21:30:00	1814.99	1815.85	1814.00	1814.01	1731	0	6
2022.01.18	22:00:00	1814.00	1815.26	1813.34	1815.11	1853	0	5
2022.01.18	22:30:00	1815.20	1815.31	1813.24	1813.73	1919	0	5
2022.01.18	23:00:00	1813.81	1814.68	1813.41	1813.52	1221	0	8
2022.01.18	23:30:00	1813.52	1813.74	1813.08	1813.70	669	0	8
2022.01.19	01:00:00	1814.16	1815.14	1814.04	1814.79	533	0	8
2022.01.19	01:30:00	1814.84	1814.85	1814.12	1814.26	877	0	8
2022.01.19	02:00:00	1814.26	1814.50	1812.73	1813.83	1620	0	5
2022.01.19	02:30:00	1813.83	1814.24	1812.66	1813.37	1181	0	5
2022.01.19	03:00:00	1813.37	1814.24	1812.44	1812.50	2450	0	5
2022.01.19	03:30:00	1812.50	1814.10	1812.23	1812.29	2242	0	5
2022.01.19	04:00:00	1812.23	1813.46	1811.81	1812.99	1829	0	5
2022.01.19	04:30:00	1812.98	1813.22	1811.07	1811.69	2296	0	5
2022.01.19	05:00:00	1811.69	1811.69	1810.24	1810.47	1816	0	5
2022.01.19	05:30:00	1810.49	1812.00	1810.43	1811.69	1156	0	5
2022.01.19	06:00:00	1811.66	1812.18	1811.55	1811.89	973	0	5
2022.01.19	06:30:00	1811.90	1812.50	1811.12	1811.76	1095	0	5
2022.01.19	07:00:00	1811.76	1813.44	1811.49	1812.85	1321	0	5
2022.01.19	07:30:00	1812.86	1814.23	1812.70	1813.39	2244	0	5
2022.01.19	08:00:00	1813.39	1814.56	1813.35	1813.93	2229	0	5
2022.01.19	08:30:00	1814.00	1814.74	1812.82	1814.26	2475	0	5
2022.01.19	09:00:00	1814.24	1815.26	1812.78	1813.50	2703	0	5
2022.01.19	09:30:00	1813.51	1814.22	1811.30	1811.53	3041	0	5
2022.01.19	10:00:00	1811.47	1814.01	1811.34	1813.52	3274	0	5
2022.01.19	10:30:00	1813.53	1816.00	1812.85	1814.70	2766	0	5
2022.01.19	11:00:00	1814.69	1816.68	1814.35	1815.64	2465	0	5
2022.01.19	11:30:00	1815.67	1817.27	1815.64	1816.89	2005	0	5
2022.01.19	12:00:00	1816.88	1817.74	1816.17	1817.55	1980	0	5
2022.01.19	12:30:00	1817.57	1819.36	1817.51	1818.69	2261	0	5
2022.01.19	13:00:00	1818.76	1819.38	1817.92	1819.02	2098	0	5
2022.01.19	13:30:00	1819.02	1819.93	1817.19	1817.33	2090	0	5
2022.01.19	14:00:00	1817.33	1819.05	1816.71	1818.34	2142	0	5
2022.01.19	14:30:00	1818.34	1818.85	1817.04	1817.82	2252	0	5
2022.01.19	15:00:00	1817.82	1824.33	1817.74	1823.94	5741	0	5
2022.01.19	15:30:00	1824.09	1825.56	1822.06	1823.99	5321	0	5
2022.01.19	16:00:00	1824.01	1825.02	1823.12	1824.43	4147	0	5
2022.01.19	16:30:00	1824.43	1828.37	1822.45	1827.11	6751	0	5
2022.01.19	17:00:00	1827.12	1837.26	1826.29	1836.87	6469	0	5
2022.01.19	17:30:00	1836.87	1838.66	1835.78	1838.26	4657	0	5
2022.01.19	18:00:00	1838.27	1840.22	1837.08	1839.29	4844	0	5
2022.01.19	18:30:00	1839.29	1841.27	1839.29	1840.15	3985	0	5
2022.01.19	19:00:00	1840.17	1842.64	1839.16	1842.52	3431	0	5
2022.01.19	19:30:00	1842.50	1842.65	1839.69	1840.31	3142	0	5
2022.01.19	20:00:00	1840.29	1842.82	1839.61	1842.19	3700	0	5
2022.01.19	20:30:00	1842.18	1842.31	1840.91	1841.77	2254	0	5
2022.01.19	21:00:00	1841.77	1842.20	1840.91	1841.19	2007	0	5
2022.01.19	21:30:00	1841.18	1843.31	1840.99	1842.78	1908	0	5
2022.01.19	22:00:00	1842.88	1843.30	1841.58	1842.64	2016	0	5
2022.01.19	22:30:00	1842.58	1843.25	1842.11	1842.51	1882	0	5
2022.01.19	23:00:00	1842.59	1842.59	1840.41	1840.72	1452	0	7
2022.01.19	23:30:00	1840.71	1841.02	1840.05	1840.61	1142	0	13
2022.01.20	01:00:00	1840.18	1840.18	1838.97	1839.62	817	0	8
2022.01.20	01:30:00	1839.61	1839.72	1838.27	1838.49	1031	0	13
2022.01.20	02:00:00	1838.50	1840.36	1837.94	1839.75	1431	0	5
2022.01.20	02:30:00	1839.75	1841.40	1839.29	1841.14	1389	0	5
