<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.03	01:00:00	1528.94	1529.13	1527.89	1528.58	453	0	8
2020.01.03	01:30:00	1528.56	1528.89	1527.90	1528.77	404	0	9
2020.01.03	02:00:00	1528.86	1529.99	1528.86	1529.94	678	0	12
2020.01.03	02:30:00	1530.04	1530.64	1529.36	1530.57	628	0	11
2020.01.03	03:00:00	1530.53	1531.11	1529.92	1530.81	1165	0	10
2020.01.03	03:30:00	1530.81	1535.81	1530.06	1534.93	2147	0	7
2020.01.03	04:00:00	1534.93	1541.04	1532.58	1539.89	3398	0	7
2020.01.03	04:30:00	1539.89	1539.89	1537.98	1538.33	2552	0	11
2020.01.03	05:00:00	1538.33	1540.58	1537.73	1539.92	2268	0	8
2020.01.03	05:30:00	1539.91	1539.91	1538.30	1538.63	1269	0	13
2020.01.03	06:00:00	1538.60	1539.63	1537.43	1538.46	1396	0	13
2020.01.03	06:30:00	1538.45	1539.20	1538.15	1538.77	935	0	13
2020.01.03	07:00:00	1538.77	1540.76	1538.27	1540.38	1978	0	9
2020.01.03	07:30:00	1540.38	1543.85	1540.06	1541.46	2539	0	9
2020.01.03	08:00:00	1541.46	1542.61	1541.13	1542.20	1423	0	12
2020.01.03	08:30:00	1542.20	1542.25	1541.03	1541.22	1429	0	11
2020.01.03	09:00:00	1541.30	1542.94	1540.16	1540.29	2094	0	11
2020.01.03	09:30:00	1540.30	1543.99	1540.30	1543.46	2753	0	11
2020.01.03	10:00:00	1543.46	1545.43	1543.02	1543.36	3354	0	7
2020.01.03	10:30:00	1543.35	1544.77	1542.91	1544.28	2442	0	13
2020.01.03	11:00:00	1544.28	1547.58	1544.15	1547.21	2721	0	8
2020.01.03	11:30:00	1547.23	1550.34	1546.73	1546.79	3229	0	7
2020.01.03	12:00:00	1546.84	1547.90	1545.43	1547.37	2893	0	7
2020.01.03	12:30:00	1547.37	1549.58	1546.96	1548.48	2665	0	10
